!	משתמש:צלף/!
!	סימן קריאה
!!	!!
!!	תבנית:!!
Realism	ריאליזם
Realist painters	קטגוריה:ציירים ריאליסטים
Reality	Reality
Reality	מציאות
Reality Bites	מציאות נושכת
Reality principle	עקרון המציאות
Reality show winners	קטגוריה:זוכים בתוכניות מציאות
Reality television	תוכנית מציאות
Reality television judges	קטגוריה:שופטי תוכניות מציאות
Reality television participants	קטגוריה:מתחרים בתוכניות מציאות
Reality testing	בוחן מציאות
Reality92/double blah	שינה זעירה
Really Don't Care	Really Don't Care
Realm of Kings	ממלכת המלכים
Realm of New Zealand	תבנית:תחומי ניו זילנד
Realmgic	user:Realmgic
Realms of Arda	ממלכות הארץ התיכונה
Reaper	מקצרה
Reaper Man	איש הקציר
Rear Window	חלון אחורי
Rear projection effect	אפקט הקרנה אחורית
Rearrangement inequality	אי-שוויון התמורות
Rearrangement reaction	תגובת שחלוף
ReasOFF	user:Reason
Reason	הגיון
Reasonability	סבירות
Reasonable doubt	ספק סביר
Reasonable person	האדם הסביר
Reavers	הבוזזים
Rebab	רבאב
Rebbe	אדמו"ר
Rebbes of Belz	קטגוריה:אדמו"רי בעלז
Rebbes of Bobov	קטגוריה:אדמו"רי באבוב
Rebbes of Boyan	קטגוריה:אדמו"רי בויאן
Rebbes of Chabad	קטגוריה:אדמו"רי חב"ד
Rebbes of Chernobyl	קטגוריה:אדמו"רי בית צ'רנוביל
Rebbes of Ger	קטגוריה:אדמו"רי גור
Rebbes of Izhbitza–Radzin	קטגוריה:אדמו"רי איז'ביצה-ראדזין
Rebbes of Karlin–Stolin	קטגוריה:אדמו"רי קרלין
Rebbes of Munkacs	קטגוריה:אדמו"רי מונקאץ'
Rebbes of Nadvorna	קטגוריה:אדמו"רי נדבורנה
Rebbes of Ruzhin	קטגוריה:אדמו"רי בית רוז'ין
Rebbes of Sadigura	קטגוריה:אדמו"רי סדיגורה
Rebbes of Satmar	קטגוריה:אדמו"רי סאטמר
Rebbes of Siget	קטגוריה:אדמו"רי סיגט
Rebbes of Sochatchov	קטגוריה:אדמו"רי סוכטשוב
Rebbes of Zidichov	קטגוריה:אדמו"רי זידיטשוב-קומרנא
Rebbetzins	קטגוריה:רבניות חרדיות
Rebbetzins of Lubavitch	קטגוריה:רבניות חב"ד
Rebecca	רבקה
Rebecca Adlington	רבקה אדלינגטון
Rebecca Black	רבקה בלאק
Rebecca De Mornay	רבקה דה מורניי
Rebecca Gilman	רבקה גילמן
Rebecca Goldstein	רבקה גולדסטיין
Rebecca Hall	רבקה הול
Rebecca Harding Davis	רבקה הרדינג דייוויס
Rebecca MacKinnon	רבקה מקינון
Rebecca Mader	רבקה מדר
Rebecca Night	רבקה נייט
Rebecca Romero	רבקה רומרו
Rebecca Romijn	רבקה רומיין
Rebecca Sieff Hospital	בית החולים רבקה זיו
Rebecca Soni	רבקה סוני
Rebecca Walker	רבקה ווקר
Rebecca West	רבקה וסט
Rebecca bat Meir Tiktiner	רבקה בת מאיר טיקטינר
RebeccaHugo	בושה
Rebel Alliance	ברית המורדים
Rebel Heart	Rebel Heart
Rebel Wilson	רבל וילסון
Rebel Without a Cause	מרד הנעורים
Rebel groups in Uganda	קטגוריה:אוגנדה: ארגוני מורדים
Rebel militia groups	קטגוריה:ארגוני מורדים
Rebelde	Rebelde
Rebelde Way	המורדים
Rebellion	קטגוריה:מרידות
Rebellions in France	קטגוריה:צרפת: מרידות
Rebellions in Japan	קטגוריה:מרידות ביפן
Rebels	קטגוריה:מורדים
Rebetiko	רמבטיקו
Rebirth	Rebirth
Rebirthing	נשימה מעגלית
Reboot	אתחול
Reboot films	קטגוריה:סרטי אתחול
Reborn!	ריבורן!
Rebound	ריבאונד
Rebuilding of London Act 1666	חוק הבנייה מחדש של לונדון 1666
Rebuilding of London Act 1670	חוק הבנייה מחדש של לונדון 1670
Rebus	רבוס
Recall	שליפה
Recall bias	הטיית זיכרון
Recall election	Recall Election
Recanati	רקנאטי
Recanati winery	יקבי רקנאטי
Recapitulation theory	החוק הביוגנטי
Receipt	קבלה
Received Pronunciation	Received Pronunciation
Receiver operating characteristic	עקומת ROC
Receivership	כינוס נכסים
Recent Songs	Recent Songs
Recent additions 100	ויקיפדיה:הידעת?
Recent additions 101	ויקיפדיה:הידעת?
Recent additions 102	ויקיפדיה:הידעת?
Recent additions 103	ויקיפדיה:הידעת?
Recent additions 104	ויקיפדיה:הידעת?
Recent additions 105	ויקיפדיה:הידעת?
Recent additions 106	ויקיפדיה:הידעת?
Recent additions 107	ויקיפדיה:הידעת?
Recent additions 108	ויקיפדיה:הידעת?
Recent additions 109	ויקיפדיה:הידעת?
Recent additions 110	ויקיפדיה:הידעת?
Recent additions 111	ויקיפדיה:הידעת?
Recent additions 112	ויקיפדיה:הידעת?
Recent additions 113	ויקיפדיה:הידעת?
Recent additions 114	ויקיפדיה:הידעת?
Recent additions 115	ויקיפדיה:הידעת?
Recent additions 116	ויקיפדיה:הידעת?
Recent additions 117	ויקיפדיה:הידעת?
Recent additions 118	ויקיפדיה:הידעת?
Recent additions 119	ויקיפדיה:הידעת?
Recent additions 120	ויקיפדיה:הידעת?
Recent additions 121	ויקיפדיה:הידעת?
Recent additions 122	ויקיפדיה:הידעת?
Recent additions 123	ויקיפדיה:הידעת?
Recent additions 124	ויקיפדיה:הידעת?
Recent additions 125	ויקיפדיה:הידעת?
Recent additions 126	ויקיפדיה:הידעת?
Recent additions 127	ויקיפדיה:הידעת?
Recent additions 128	ויקיפדיה:הידעת?
Recent additions 129	ויקיפדיה:הידעת?
Recent additions 130	ויקיפדיה:הידעת?
Recent additions 131	ויקיפדיה:הידעת?
Recent additions 132	ויקיפדיה:הידעת?
Recent additions 133	ויקיפדיה:הידעת?
Recent additions 134	ויקיפדיה:הידעת?
Recent additions 135	ויקיפדיה:הידעת?
Recent additions 136	ויקיפדיה:הידעת?
Recent additions 137	ויקיפדיה:הידעת?
Recent additions 138	ויקיפדיה:הידעת?
Recent additions 139	ויקיפדיה:הידעת?
Recent additions 140	ויקיפדיה:הידעת?
Recent additions 141	ויקיפדיה:הידעת?
Recent additions 142	ויקיפדיה:הידעת?
Recent additions 143	ויקיפדיה:הידעת?
Recent additions 144	ויקיפדיה:הידעת?
Recent additions 145	ויקיפדיה:הידעת?
Recent additions 220	ויקיפדיה:הידעת?
Recent additions 221	ויקיפדיה:הידעת?
Recent additions 222	ויקיפדיה:הידעת?
Recent additions 231	ויקיפדיה:הידעת?
Recent additions 232	ויקיפדיה:הידעת?
Recent additions 233	ויקיפדיה:הידעת?
Recent additions 239	ויקיפדיה:הידעת?
Recent additions 68	ויקיפדיה:הידעת?
Recent additions 69	ויקיפדיה:הידעת?
Recent additions 70	ויקיפדיה:הידעת?
Recent additions 71	ויקיפדיה:הידעת?
Recent additions 72	ויקיפדיה:הידעת?
Recent additions 73	ויקיפדיה:הידעת?
Recent additions 74	ויקיפדיה:הידעת?
Recent additions 75	ויקיפדיה:הידעת?
Recent additions 76	ויקיפדיה:הידעת?
Recent additions 77	ויקיפדיה:הידעת?
Recent additions 78	ויקיפדיה:הידעת?
Recent additions 79	ויקיפדיה:הידעת?
Recent additions 80	ויקיפדיה:הידעת?
Recent additions 81	ויקיפדיה:הידעת?
Recent additions 82	ויקיפדיה:הידעת?
Recent additions 83	ויקיפדיה:הידעת?
Recent additions 84	ויקיפדיה:הידעת?
Recent additions 85	ויקיפדיה:הידעת?
Recent additions 86	ויקיפדיה:הידעת?
Recent additions 87	ויקיפדיה:הידעת?
Recent additions 88	ויקיפדיה:הידעת?
Recent additions 89	ויקיפדיה:הידעת?
Recent additions 90	ויקיפדיה:הידעת?
Recent additions 91	ויקיפדיה:הידעת?
Recent additions 92	ויקיפדיה:הידעת?
Recent additions 93	ויקיפדיה:הידעת?
Recent additions 94	ויקיפדיה:הידעת?
Recent additions 95	ויקיפדיה:הידעת?
Recent additions 96	ויקיפדיה:הידעת?
Recent additions 97	ויקיפדיה:הידעת?
Recent additions 98	ויקיפדיה:הידעת?
Recent additions 99	ויקיפדיה:הידעת?
Recent changes	ויקיפדיה:דף השינויים האחרונים
Recep Tayyip Erdoğan	רג'פ טאיפ ארדואן
Reception	קליטה
Receptive field	שדה קלט
Receptor	קולטן
Receptor antagonist	אנטגוניסט
Receptors	קטגוריה:קולטנים
Recess appointment	מינוי פגרה
Recession	מיתון
Recha Freier	רחה פריאר
Rechabite	בני רכב
Rechelim	רחלים
Rechnitz	רכניץ
Rechov SumSum	רחוב סומסום
Rechter Prize	פרס רכטר
Rechytsa	רצ'יטסה
Recidivism	רצידיביזם
Recife	קטגוריה:רסיפה
Recife	רסיפה
Recipe	מתכון
Recipients of Israeli military awards and decorations	קטגוריה:מעוטרי צה"ל
Recipients of Israeli presidential pardons	קטגוריה:ישראלים שקיבלו חנינה
Recipients of Soviet Union military awards and decorations	קטגוריה:מקבלי עיטורים בברית המועצות
Recipients of United Kingdom civil awards and decorations	קטגוריה:מקבלי עיטורים בריטים
Recipients of United States military awards and decorations	קטגוריה:מעוטרי הכוחות המזוינים של ארצות הברית
Recipients of military awards and decorations	קטגוריה:מקבלי עיטורים צבאיים
Recipients of the Air Force Distinguished Service Medal	קטגוריה:מעוטרי מדליית השירות המצוין של חיל האוויר
Recipients of the Air Medal	קטגוריה:מעוטרי מדליית האוויר
Recipients of the Australian Sports Medal	קטגוריה:זוכי מדליית הספורט האוסטרלית
Recipients of the Bronze Star Medal	קטגוריה:מעוטרי כוכב הארד
Recipients of the Bruce Medal	קטגוריה:זוכי מדליית ברוס
Recipients of the Copley Medal	קטגוריה:זוכי מדליית קופלי
Recipients of the Croix de guerre	קטגוריה:מעוטרי צלב המלחמה
Recipients of the Cross of St. George	קטגוריה:מעוטרי צלב גיאורגי
Recipients of the Defense Distinguished Service Medal	קטגוריה:מעוטרי מדליית השירות המצוין של מחלקת ההגנה
Recipients of the Distinguished Flying Cross	קטגוריה:מעוטרי צלב התעופה המצוינת
Recipients of the Distinguished Service Cross	קטגוריה:מעוטרי צלב השירות המצוין
Recipients of the Distinguished Service Medal	קטגוריה:מעוטרי מדליית השירות המצוין
Recipients of the George Cross	קטגוריה:מעוטרי צלב ג'ורג'
Recipients of the German Cross	קטגוריה:מעוטרי הצלב הגרמני
Recipients of the Gold German Cross	קטגוריה:מעוטרי הצלב הגרמני בזהב
Recipients of the Gold Medal of the Royal Astronomical Society	קטגוריה:זוכי מדליית זהב של החברה המלכותית לאסטרונומיה
Recipients of the Iron Cross	קטגוריה:מעוטרי צלב הברזל
Recipients of the Knight's Cross of the Iron Cross with Oak Leaves	קטגוריה:מעוטרי צלב האבירים עם עלי אלון
Recipients of the Knight's Cross of the Iron Cross with Oak Leaves and Swords	קטגוריה:מעוטרי צלב האבירים עם עלי אלון וחרבות
Recipients of the Legion of Merit	קטגוריה:מעוטרי אות לגיון ההצטיינות
Recipients of the Medal of Courage	קטגוריה:מעוטרי עיטור העוז
Recipients of the Medal of Distinguished Service	קטגוריה:מעוטרי עיטור המופת
Recipients of the Medal of Honor	קטגוריה:מעוטרי מדליית הכבוד
Recipients of the Medal of Valor	קטגוריה:מעוטרי עיטור הגבורה
Recipients of the Medal of the Order of Australia	קטגוריה:מסדר אוסטרליה: מקבלי מדליה
Recipients of the Military Cross	קטגוריה:מעוטרי הצלב הצבאי
Recipients of the Navy Cross	קטגוריה:מעוטרי צלב הצי
Recipients of the Navy Distinguished Service Medal	קטגוריה:מעוטרי מדליית השירות המצוין של הצי
Recipients of the Order of Alexander Nevsky	קטגוריה:מעוטרי עיטור אלכסנדר נבסקי
Recipients of the Order of Bogdan Khmelnitsky	קטגוריה:מעוטרי עיטור בוגדן חמלניצקי
Recipients of the Order of Civil Merit	קטגוריה:מעוטרי מסדר ההצטיינות האזרחי
Recipients of the Order of Karl Marx	קטגוריה:מעוטרי עיטור קרל מרקס
Recipients of the Order of Kutuzov	קטגוריה:מעוטרי עיטור קוטוזוב
Recipients of the Order of Lenin	קטגוריה:מעוטרי עיטור לנין
Recipients of the Order of Merit of the Federal Republic of Germany	קטגוריה:מעוטרי מסדר הכבוד של הרפובליקה הפדרלית של גרמניה
Recipients of the Order of Nakhimov	קטגוריה:מעוטרי עיטור נחימוב
Recipients of the Order of St. Alexander Nevsky	קטגוריה:מעוטרי עיטור אלכסנדר נבסקי
Recipients of the Order of St. Andrew	קטגוריה:מעוטרי עיטור אנדריי הקדוש
Recipients of the Order of St. George	קטגוריה:מעוטרי עיטור גיאורגי הקדוש
Recipients of the Order of Suvorov	קטגוריה:מעוטרי עיטור סובורוב
Recipients of the Order of Ushakov	קטגוריה:מעוטרי עיטור אושקוב
Recipients of the Order of Victory	קטגוריה:מעוטרי עיטור הניצחון
Recipients of the Order of the Badge of Honour	קטגוריה:מעוטרי עיטור אות הכבוד
Recipients of the Order of the Black Eagle	קטגוריה:אבירי מסדר העיט השחור
Recipients of the Order of the Medjidie	קטגוריה:מעוטרי מסדר המג'ידיה
Recipients of the Order of the October Revolution	קטגוריה:מעוטרי עיטור מהפכת אוקטובר
Recipients of the Order of the Patriotic War	קטגוריה:מעוטרי עיטור המלחמה הפטריוטית הגדולה
Recipients of the Order of the People's Hero	קטגוריה:גיבורי יוגוסלביה
Recipients of the Order of the Red Banner	קטגוריה:מעוטרי עיטור הדגל האדום
Recipients of the Order of the Red Star	קטגוריה:מעוטרי עיטור הכוכב האדום
Recipients of the Order of the Yugoslav Star	קטגוריה:מעוטרי עיטור הכוכב של יוגוסלביה
Recipients of the Ordre de la Libération	קטגוריה:מעוטרי אות מסדר השחרור
Recipients of the Pierre de Coubertin medal	קטגוריה:זוכי מדליית פייר דה קוברטן
Recipients of the Pour le Mérite	קטגוריה:מעוטרי פור לה מריט
Recipients of the Presidential Medal of Distinction of Israel	קטגוריה:מעוטרי עיטור הנשיא
Recipients of the Purple Heart medal	קטגוריה:מעוטרי לב הארגמן
Recipients of the Sakharov Prize	קטגוריה:זוכי פרס סחרוב
Recipients of the Silver German Cross	קטגוריה:מעוטרי הצלב הגרמני בכסף
Recipients of the Silver Star	קטגוריה:מעוטרי כוכב הכסף
Recipients of the Victoria Cross	קטגוריה:מעוטרי צלב ויקטוריה
Recipients of the title of Hero of Ukraine	קטגוריה:גיבורי אוקראינה
Reciprocal Fibonacci constant	קבוע הופכיי מספרי פיבונאצ'י
Reciprocal lattice	סריג הופכי
Reciprocating saw	מסור חרב
Recital	רסיטל
Recitative	רצ'יטטיב
Reck	רק
Reclaim the Streets	Reclaim the Streets
Reclaimed water	מיחזור מים
Reclamation of Wellington Harbour	ייבוש קרקע בנמל ולינגטון
Reclassified	Reclassified
Recoilless rifle	תותח ללא רתע
Recombinant DNA	DNA רקומביננטי
Recombination	רקומבינציה
Recommender system	מערכות המלצה
Reconnaissance	סיור
Reconnaissance satellite	לוויין ריגול
Reconquista	רקונקיסטה
Reconstruction	רקונסטרוקציה
Reconstruction	שחזור
Reconstruction Era	תקופת השיקום
Reconstructionist Judaism	יהדות רקונסטרוקטיבית
Reconstructionist Judaism	קטגוריה:יהדות רקונסטרוקטיבית
Reconstructionist Rabbinical College	בית המדרש לרבנים ליהדות מתחדשת
Recopa Sudamericana	גביע רקופה סודאמריקנה
Record chart	מצעד פזמונים
Record charts	קטגוריה:מצעדי פזמונים
Record label	חברת תקליטים
